"Zaman","DesarjMw","SarjMw","KalanMwh","GerilimMv","PrizdeMi","DesarjEdiyor"
"2026-09-19T18:16:41.6587111+03:00","34664","0","35819","11121","False","True"
"2026-09-19T18:16:42.6988338+03:00","34689","0","35796","11111","False","True"
"2026-09-19T18:16:43.7421842+03:00","34689","0","35796","11111","False","True"
"2026-09-19T18:16:44.7934537+03:00","36689","0","35762","11111","False","True"
"2026-09-19T18:16:45.8258952+03:00","36679","0","35762","11108","False","True"
"2026-09-19T18:16:46.8704129+03:00","34635","0","35750","11108","False","True"
"2026-09-19T18:16:47.9125890+03:00","34638","0","35750","11109","False","True"
"2026-09-19T18:16:48.9539762+03:00","34760","0","35728","11109","False","True"
"2026-09-19T18:16:50.0019608+03:00","34729","0","35728","11099","False","True"
"2026-09-19T18:16:51.0368116+03:00","34562","0","35705","11099","False","True"
"2026-09-19T18:16:52.0784659+03:00","34590","0","35705","11108","False","True"
"2026-09-19T18:16:53.1180998+03:00","36079","0","35671","11108","False","True"
"2026-09-19T18:16:54.1590239+03:00","36063","0","35671","11103","False","True"
"2026-09-19T18:16:55.2087043+03:00","34708","0","35671","11103","False","True"
"2026-09-19T18:16:56.2449633+03:00","34699","0","35659","11100","False","True"
"2026-09-19T18:16:57.2863711+03:00","34699","0","35659","11100","False","True"
"2026-09-19T18:16:58.3271529+03:00","34643","0","35636","11100","False","True"
"2026-09-19T18:16:59.3727390+03:00","34643","0","35636","11100","False","True"
"2026-09-19T18:17:00.4235068+03:00","34776","0","35614","11100","False","True"
"2026-09-19T18:17:01.4565979+03:00","34761","0","35614","11095","False","True"
"2026-09-19T18:17:02.5035999+03:00","34639","0","35591","11095","False","True"
"2026-09-19T18:17:03.5583405+03:00","34620","0","35591","11089","False","True"
"2026-09-19T18:17:04.5911569+03:00","36450","0","35568","11089","False","True"
"2026-09-19T18:17:05.6393137+03:00","36469","0","35568","11095","False","True"
"2026-09-19T18:17:06.6710191+03:00","34672","0","35545","11095","False","True"
"2026-09-19T18:17:07.7153867+03:00","34659","0","35545","11091","False","True"
"2026-09-19T18:17:08.7614392+03:00","34826","0","35522","11091","False","True"
"2026-09-19T18:17:09.7973371+03:00","34810","0","35522","11086","False","True"
"2026-09-19T18:17:10.8481008+03:00","34810","0","35522","11086","False","True"
"2026-09-19T18:17:11.8816863+03:00","34724","0","35511","11087","False","True"
"2026-09-19T18:17:12.9231091+03:00","34724","0","35511","11087","False","True"
"2026-09-19T18:17:13.9662394+03:00","34615","0","35477","11045","False","True"
"2026-09-19T18:17:15.0062921+03:00","34615","0","35477","11045","False","True"
"2026-09-19T18:17:16.0545185+03:00","35145","0","35454","11045","False","True"
"2026-09-19T18:17:17.0895032+03:00","35272","0","35454","11085","False","True"
"2026-09-19T18:17:18.1316675+03:00","34796","0","35431","11085","False","True"
"2026-09-19T18:17:19.1750416+03:00","34790","0","35431","11083","False","True"
"2026-09-19T18:17:20.2179221+03:00","34978","0","35420","11083","False","True"
"2026-09-19T18:17:21.2667913+03:00","34943","0","35420","11072","False","True"
"2026-09-19T18:17:22.3049792+03:00","34666","0","35397","11072","False","True"
"2026-09-19T18:17:23.3448487+03:00","34685","0","35397","11078","False","True"
"2026-09-19T18:17:24.3889441+03:00","38906","0","35397","11078","False","True"
"2026-09-19T18:17:25.4223824+03:00","38688","0","35363","11016","False","True"
"2026-09-19T18:17:26.4733475+03:00","38688","0","35363","11016","False","True"
"2026-09-19T18:17:27.5112336+03:00","35082","0","35340","11074","False","True"
"2026-09-19T18:17:28.5440132+03:00","35082","0","35340","11074","False","True"
"2026-09-19T18:17:29.5854884+03:00","34950","0","35329","11074","False","True"
"2026-09-19T18:17:30.6302828+03:00","34927","0","35329","11067","False","True"
"2026-09-19T18:17:31.6784922+03:00","34817","0","35306","11067","False","True"
"2026-09-19T18:17:32.7156495+03:00","34836","0","35306","11073","False","True"
"2026-09-19T18:17:33.7610129+03:00","34747","0","35272","11073","False","True"
"2026-09-19T18:17:34.8015676+03:00","34741","0","35272","11071","False","True"
"2026-09-19T18:17:35.8430812+03:00","36246","0","35260","11071","False","True"
"2026-09-19T18:17:36.8906363+03:00","36132","0","35260","11036","False","True"
"2026-09-19T18:17:37.9289405+03:00","35282","0","35237","11036","False","True"
"2026-09-19T18:17:38.9687654+03:00","35333","0","35237","11052","False","True"
"2026-09-19T18:17:40.0138535+03:00","35333","0","35237","11052","False","True"
"2026-09-19T18:17:41.0570086+03:00","35229","0","35215","11054","False","True"
"2026-09-19T18:17:42.1034850+03:00","35229","0","35215","11054","False","True"
"2026-09-19T18:17:43.1426294+03:00","34934","0","35192","11069","False","True"
"2026-09-19T18:17:44.1899744+03:00","34934","0","35192","11069","False","True"
"2026-09-19T18:17:45.2310281+03:00","34723","0","35169","11069","False","True"
"2026-09-19T18:17:46.2737118+03:00","34714","0","35169","11066","False","True"
"2026-09-19T18:17:47.3262733+03:00","36938","0","35146","11066","False","True"
"2026-09-19T18:17:48.3593952+03:00","36922","0","35146","11061","False","True"
"2026-09-19T18:17:49.4023150+03:00","34875","0","35123","11061","False","True"
"2026-09-19T18:17:50.4422515+03:00","34866","0","35123","11058","False","True"
"2026-09-19T18:17:51.4844963+03:00","34888","0","35101","11058","False","True"
"2026-09-19T18:17:52.5316146+03:00","34869","0","35101","11052","False","True"
"2026-09-19T18:17:53.5671875+03:00","35974","0","35101","11052","False","True"
"2026-09-19T18:17:54.6071916+03:00","36000","0","35078","11060","False","True"
"2026-09-19T18:17:55.6511080+03:00","36000","0","35078","11060","False","True"
"2026-09-19T18:17:56.6924558+03:00","34849","0","35055","11056","False","True"
"2026-09-19T18:17:57.7393140+03:00","34849","0","35055","11056","False","True"
"2026-09-19T18:17:58.7846866+03:00","34680","0","35032","11055","False","True"
"2026-09-19T18:17:59.8144077+03:00","34680","0","35032","11055","False","True"
"2026-09-19T18:18:00.8424456+03:00","34812","0","35021","11055","False","True"
"2026-09-19T18:18:01.8739800+03:00","34796","0","35021","11050","False","True"
"2026-09-19T18:18:02.9133322+03:00","35106","0","34998","11050","False","True"
"2026-09-19T18:18:03.9515908+03:00","34972","0","34998","11008","False","True"
"2026-09-19T18:18:04.9903149+03:00","34972","0","34964","11008","False","True"
"2026-09-19T18:18:06.0311321+03:00","35109","0","34964","11051","False","True"
"2026-09-19T18:18:07.0770137+03:00","34833","0","34941","11051","False","True"
"2026-09-19T18:18:08.1293590+03:00","34830","0","34941","11050","False","True"
"2026-09-19T18:18:09.1640357+03:00","34830","0","34941","11050","False","True"
"2026-09-19T18:18:10.2071532+03:00","34820","0","34930","11047","False","True"
"2026-09-19T18:18:11.2514402+03:00","34820","0","34930","11047","False","True"
"2026-09-19T18:18:12.2921962+03:00","34811","0","34907","11044","False","True"
"2026-09-19T18:18:13.3362886+03:00","34811","0","34907","11044","False","True"
"2026-09-19T18:18:14.3777908+03:00","36280","0","34873","11044","False","True"
"2026-09-19T18:18:15.4193025+03:00","36148","0","34873","11004","False","True"
"2026-09-19T18:18:16.4600133+03:00","34696","0","34850","11004","False","True"
"2026-09-19T18:18:17.5043577+03:00","34815","0","34850","11042","False","True"
"2026-09-19T18:18:18.5484501+03:00","34860","0","34838","11042","False","True"
"2026-09-19T18:18:19.5872335+03:00","34844","0","34838","11037","False","True"
"2026-09-19T18:18:20.6299260+03:00","34811","0","34816","11037","False","True"
"2026-09-19T18:18:21.6663662+03:00","34814","0","34816","11038","False","True"
"2026-09-19T18:18:22.7040750+03:00","31999","0","34816","11038","False","True"
"2026-09-19T18:18:23.7722821+03:00","32657","0","34793","11265","False","True"
